Legislative Constraints in the Executive,,,,
,,,By President,
_Y_treated,_Y_synthetic,year,Effect,%
0.892,0.901053,1998,-0.703274733,-77.89283578
0.517,0.901053,1999,,
0.297,0.900945,2000,,
0.325,0.90991,2001,,
0.235,0.90991,2002,,
0.211,0.901271,2003,,
0.2,0.901271,2004,,
0.07,0.901271,2005,,
0.038,0.901271,2006,,
0.038,0.901271,2007,,
0.038,0.90339,2008,,
0.038,0.898927,2009,,
0.035,0.907566,2010,,
0.03,0.902006,2011,,
0.03,0.902006,2012,,
0.032,0.903961,2013,-0.670582143,-74.65042958
0.032,0.904393,2014,,
0.185,0.885943,2015,,
0.393,0.888225,2016,,
0.356,0.903309,2017,,
0.316,0.905181,2018,,
0.28,0.897063,2019,,
0.208545455,0.901418,,,
-0.692872545,-76.86473373,,,
Executive Oversight,,,,
,,,By President,
_Y_treated,_Y_synthetic,year,Effect,%
2.245,2.2465,1998,-3.608635667,-155.0521497
0.153,2.2465,1999,,
-0.171,2.2465,2000,,
-0.171,2.248684,2001,,
-0.712,2.301995,2002,,
-0.712,2.301995,2003,,
-0.83,2.366431,2004,,
-2.168,2.366431,2005,,
-2.281,2.366431,2006,,
-2.281,2.366431,2007,,
-2.281,2.366431,2008,,
-2.281,2.366879,2009,,
-2.281,2.366879,2010,,
-2.724,2.366879,2011,,
-2.724,2.385569,2012,,
-2.571,2.416605,2013,-4.431033857,-184.7117629
-2.571,2.416605,2014,,
-1.949,2.315253,2015,,
-1.742,2.316513,2016,,
-1.768,2.370387,2017,,
-1.768,2.466155,2018,,
-1.856,2.490719,2019,,
-1.520181818,2.350126,,,
-3.870307818,-164.6851198,,,
,,,,
Legislature Investigates in practice,,,,
,,,By President,
_Y_treated,_Y_synthetic,year,Effect,%
1.301,1.300228,1998,-2.941282267,-205.3658867
0.268,1.300228,1999,,
-0.36,1.300228,2000,,
-0.36,1.415332,2001,,
-0.95,1.415684,2002,,
-1.312,1.289462,2003,,
-1.312,1.456382,2004,,
-2.145,1.456382,2005,,
-2.568,1.465006,2006,,
-2.568,1.465006,2007,,
-2.568,1.511004,2008,,
-2.568,1.464134,2009,,
-2.498,1.602152,2010,,
-2.498,1.521003,2011,,
-2.498,1.521003,2012,,
-2.498,1.47598,2013,-1.407816714,-103.1614042
-2.498,1.47598,2014,,
-0.012,1.37219,2015,,
1.136,1.397335,2016,,
1.305,1.397335,2017,,
1.305,1.148025,2018,,
0.96,1.285872,2019,,
-1.042636364,1.410725045,,,
-2.453361409,-173.9078368,,,
,,,,
Legislature Opposition Parties,,,,
,,,By President,
_Y_treated,_Y_synthetic,year,Effect,%
2.526,2.52583,1998,-3.31377,-128.7616035
0.334,2.52583,1999,,
-0.763,2.52583,2000,,
-0.377,2.52583,2001,,
-0.377,2.52583,2002,,
-0.377,2.52583,2003,,
-0.377,2.52583,2004,,
-1.143,2.52583,2005,,
-1.507,2.69509,2006,,
-1.507,2.69509,2007,,
-1.507,2.53717,2008,,
-1.507,2.53717,2009,,
-1.507,2.53717,2010,,
-1.507,2.69761,2011,,
-1.507,2.69761,2012,,
-1.507,2.69761,2013,-3.817182857,-151.1902714
-1.507,2.69761,2014,,
-1.332,2.433352,2015,,
-0.511,2.433352,2016,,
-0.974,2.433352,2017,,
-1.608,2.433352,2018,,
-1.608,2.544652,2019,,
-0.915909091,2.558037727,,,
-3.473946818,-135.805144,,,
,,,,
Legislative Questions Official in practice,,,,
,,,By President,
_Y_treated,_Y_synthetic,year,Effect,%
1.09,1.608936,1998,-2.7331172,-170.5515048
0.135,1.608936,1999,,
-0.834,1.608936,2000,,
-0.834,1.608936,2001,,
-0.834,1.608936,2002,,
-0.834,1.608936,2003,,
-0.834,1.608936,2004,,
-0.834,1.608936,2005,,
-1.717,1.61082,2006,,
-1.717,1.61082,2007,,
-1.717,1.608948,2008,,
-1.717,1.608948,2009,,
-2.104,1.608948,2010,,
-2.104,1.608236,2011,,
-2.104,1.50955,2012,,
-2.104,1.511238,2013,-2.393201143,-158.5590258
-2.104,1.511238,2014,,
-0.748,1.511238,2015,,
-0.082,1.511238,2016,,
-0.383,1.509222,2017,,
-0.383,1.505268,2018,,
-0.383,1.505966,2019,,
-1.052090909,1.572871182,,,
-2.624962091,-166.8898331,,,
